subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.377431,0.077332,6.048500,1.309327,0.741126,41.298401
1019,Social,0.657009,0.089309,2.648980,0.620044,0.416700,80.944987
1020,Money,0.320597,0.078800,5.645918,1.302070,0.710089,44.322023
1020,Social,0.536361,0.079429,4.026595,1.125978,0.542537,64.105349
1030,Money,0.208573,0.080774,1.620027,0.573026,0.058035,102.573861
1030,Social,0.649221,0.158304,1.153996,0.272104,0.168569,103.327289
2001,Money,0.032714,0.025640,3.647757,2.030247,0.152385,114.753547
2001,Social,0.788612,0.174463,1.131424,0.331448,0.093228,120.854956
2004,Money,0.347747,0.097909,9.977861,3.179513,0.941806,16.260307
2004,Social,0.838877,0.075094,2.833068,0.731507,0.442862,78.511713
2005,Money,0.552609,0.100619,4.894056,1.101519,0.681872,43.112943
2005,Social,0.939092,0.055728,1.856849,0.418473,0.308931,93.260821
2006,Money,0.419925,0.143728,9.446542,3.159153,0.936155,15.502745
2006,Social,0.395352,0.324729,0.543499,0.194039,0.011408,114.214500
2007,Money,0.411663,0.149697,2.772644,0.520840,0.438711,79.029709
2007,Social,0.708502,0.145674,2.021683,0.453358,0.374084,87.092967
2008,Money,0.346602,0.064636,7.442515,1.842441,0.702461,46.122495
2008,Social,0.671123,0.095565,1.810050,0.387548,0.314178,94.567264
